genus	repBC19_Pl3	repBC20_Pl3	repBC21_Pl3	repBC25_Pl3	repBC26_Pl3	repBC27_Pl3
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	500.0503480954251	264.9888040797671	949.763344855826	94.1062417146761	22	100.99999999974406
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	0	0	0	0	0
Adlercreutzia	45.91963174286117	43.65165832529374	54.04459223146624	20.694998530019312	14.99997335949589	65.21195449380018
Agathobacter	0	0	0	0	0	0
Agathobaculum	42.76113364271596	39.9865548208834	60.20906180666783	15.954886686756916	0	25.01556649189414
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	53.999978822357406	91.92842711132607	79.99994473866198	27.061341346627053	0	106.00000000000944
Allisonella	72.99872531975362	46.998989804237496	110.9999537030841	35.99571796076893	11.808878487352745	77.00588911018859
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	0	0	0	0	0	0
Aminipila	24.731348097326165	19.489971930497862	35.203766735928	0	0	15.967240142832908
Anaerobutyricum	259.5904829708512	204.6100992080499	574.0664240011438	143.90083921549314	43.40324395481451	196.56492555225563
Anaerocolumna	0	0	0	0	0	0
Anaeromassilibacillus	24.339755310711865	0	29.0789484693074	0	0	17.7981888812804
Anaerosporomusa	0	0	0	0	0	0
Anaerostipes	1506.9786721423952	1188.952235374132	2877.6461535707695	509.5563018900792	193.2587536237745	1003.2476451254712
Anaerotaenia	0	0	0	0	0	0
Anaerotignum	66.1524535914221	37.975945956735735	81.59891908744645	59.18911720572974	14.0000000006053	112.00300617812256
Anaerotruncus	26.37350670193492	35.8065553970481	48.44752499996232	22.406750006933716	0	42.950946754370605
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	254.59865494285927	344.42259464575534	454.6676721652848	163.25172606355312	43.91226341866043	431.24478662787453
Bariatricus	245.3469820090074	217.64978253210265	502.4992462719938	84.42471535902084	29.69957431168966	152.9306525764743
Barnesiella	16.000000017003863	38.30751341030602	27.588727502644925	0	0	46.06492196850176
Beduini	0	0	0	0	0	0
Bifidobacterium	17.000020695247464	13.000025688028591	19.000000029669003	0	34	124.82898431655624
Blautia	5625.884576128595	3809.9332389080246	10361.900452446333	1747.3318349789836	785.521702113171	3807.7703979031826
Breznakia	0	0	0	0	0	0
Butyricicoccus	76.08795825346218	48.026897719519695	130.49700875378906	58.5134787773347	0	57.16211975581699
Butyricimonas	0	0	0	0	0	0
Butyrivibrio	0	0	0	0	0	0
Caldicoprobacter	0	0	0	0	0	0
Caproiciproducens	0	0	0	0	0	0
Casaltella	0	0	0	0	0	0
Catenibacterium	69.2008499219272	493.5452206271144	131.99999964812105	119.00188235747524	82.00565107048028	538.8452322174666
Cellulosilyticum	0	0	0	0	0	0
Christensenella	54.26524247809007	51.00000121379843	128.57985808703236	29.99999998158771	0	50.00000549694036
Citrobacter	0	0	0	0	0	0
Clostridioides	0	0	0	0	0	0
Clostridium	14.715361384004312	32.8990464079939	37.42934463196241	13.758239888981617	0	0
Colibacter	0	0	0	0	0	0
Colidextribacter	31.009118956809928	29.08118926955737	56.96372322050055	13.279799123617094	0	35.157828271793925
Collinsella	910.9116679708646	741.4150377132744	942.8846248869314	396.5586424748818	195.9769897303232	1429.1471392211815
Coprobacter	0	0	0	0	0	0
Coprococcus	2210.6034860902455	1818.4387567658057	4270.183685070423	642.166638663658	286.3807982576641	1621.6184277170423
Corynebacterium	0	0	0	0	0	0
Cuneatibacter	12.115497516364618	0	0	0	0	0
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	0	0	0	0	0	21
Dialister	418.0050873063624	286.99339447263804	730.0085211351708	303.53090820195155	42.19377510151542	369.9996612850387
Dielma	0	0	0	0	0	0
Dorea	3455.2000511456617	2523.9398685671867	6626.570242172906	1015.8237554332244	473.3454912254439	2491.208202735439
Drancourtella	0	0	0	0	0	0
Duncaniella	159.7330510806731	248.6572560815024	272.0305639217622	116.48976321707708	65.94957794436573	518.2034542267663
Duodenibacillus	0	10	0	0	0	25
Dysosmobacter	350.05131155259306	312.51710458120425	579.8898623525628	143.69551143408765	57.26705675464866	440.3844129831976
Eggerthella	367.86996475398746	394.8172881065885	479.5130227855345	181.1224022099606	103.68963915666212	592.0271526508412
Eisenbergiella	0	0	0	0	0	0
Emergencia	0	0	14.896712306362394	0	0	0
Enterobacter	0	0	0	0	0	0
Enterocloster	68.72654205091882	69.94416209064269	145.29371843784602	26.032850724076557	10.41427174509936	64.30749207757191
Enterococcus	24.06425361548559	13	60.98112799240273	34.3378174687179	0	21.72427694534205
Enterorhabdus	23.815635793815463	30.997387740405195	45.764309481121785	13.959830437885214	0	43.759960588244354
Erysipelatoclostridium	0	0	0	0	0	0
Escherichia	280.17596516303234	281.99990470248053	392.40511740976433	99.09225215186048	46.99999999905275	242.9991131156092
Eubacterium	343.8703921759296	248.2833217589308	633.0376224403959	32.263396010880555	13.293581343137951	76.26191672553847
Faecalibacterium	776.4954170305411	757.5768252018682	1685.4592850334514	398.7127356440604	164.78690323112173	914.8396139298204
Faecalibaculum	0	0	0	0	0	0
Faecalicatena	2158.9598241029853	1587.2387439959575	3909.9826507809753	1077.7533801286045	347.15170235300184	1565.4832528817954
Faecalimonas	878.9253211209476	640.4314958114371	1612.675284192485	300.6462849094494	129.70250113731586	577.3446731596745
Faecalitalea	0	0	0	14.251726055948064	0	0
Falcatimonas	0	0	0	0	0	0
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	50.556900863626055	46.84795236774349	89.9314923074931	81.52526756336438	0	78.79872637390105
Flintibacter	185.39786763439983	122.6871729995506	266.9054347337742	101.7629586049486	61.87373968797138	296.18665447768404
Fournierella	31.55160404740359	12.18671792146139	61.90515145959505	0	0	11.43024333315828
Frisingicoccus	0	0	0	0	0	0
Fusibacter	0	0	0	0	0	0
Fusicatenibacter	331.6447749995437	208.5733823039761	604.2718516087307	124.0804278379535	48.98044990272247	273.95453357751086
Gemmiger	396.6114896013248	332.0333815473994	709.1912459348389	132.7799130275481	74.98589203190875	460.59933293833785
Geosporobacter	0	0	0	0	0	0
Gordonibacter	74.39391025699015	72.84689614021296	73.86791128683299	39.490911381345086	0	105.51109334379862
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	0	0	0	0	0
Herbinix	0	0	0	0	0	0
Hespellia	22.534482243298697	12.233349147536035	65.70580765489439	55.54013037007951	0	16.78734025029409
Holdemanella	35.99999991646726	130.99096386599308	56.99183666584391	135.89286469974286	43.70897605152599	214.9999972000525
Holdemania	0	0	0	0	0	0
Hungateiclostridium	0	17.00000000000003	15.998427589104049	0	0	14.000000323346985
Hungatella	249.38918325059237	213.8293998142526	430.8191356589253	61.3033282537688	31.087603417776435	190.03433877044705
Hydrogenoanaerobacterium	0	0	0	0	0	0
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	26.36993307747852	27.45590506142245	33.90836480912513	27.99998132236637	0	24.433083586284337
Intestinibacillus	0	0	0	0	0	0
Intestinibacter	28.00036420527408	25.91692277705799	49.91475150849386	44.5391733003002	17.999999947632944	92.53120281564313
Intestinimonas	12.832251186664408	19.454245925333343	19.228826194076497	0	0	17.140475626231893
Klebsiella	0	0	0	0	0	0
Knoellia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
Laceyella	13	0	15.999999999999998	0	0	0
Lachnoclostridium	140.27975362321143	100.27991282401284	252.28644536920484	60.90175885681809	23.944899155617406	73.64056246336673
Lachnospira	36.14922293018435	27.16347477455552	67.41323711150916	34.639627982565926	0	26.022049179324043
Lacrimispora	132.77075070106525	127.29300326724812	237.31545658543524	60.94473926938731	15.795598425920764	142.5943725634151
Lactiplantibacillus	0	0	0	0	0	0
Lactobacillus	0	0	14.547715177142496	0	0	0
Lactococcus	0	0	0	0	0	0
Lactonifactor	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0
Libanicoccus	0	0	0	0	0	0
Longibaculum	0	33.18107386040012	0	12.18141331326299	0	18.20983646053783
