genus	repBC04_Pl3	repBC05_Pl3	repBC06_Pl3	repBC10_Pl3	repBC11_Pl3	repBC12_Pl3
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	0	11.88747948593563	14.999999999999805	15.000000026057611	0	0
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	0	0	0	0	0
Adlercreutzia	20.9407831519817	21.9999993798611	27.000002855465837	18.00000000000578	23.99999990174718	17.196634936801708
Agathobacter	0	0	0	0	0	0
Agathobaculum	25.80358427381206	27.330537331944218	25.04954049819803	21.513650623577405	46.0934954552271	25.60724701582454
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	160.9821647216462	170.92331727848511	107.9849722583605	93.62762063789856	163.41766378081252	109.95400060713362
Allisonella	0	0	0	0	0	0
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	0	0	0	0	0	0
Aminipila	0	0	0	0	0	0
Anaerobutyricum	708.5173821022414	759.3588247131108	495.8698309954145	541.9576301545994	580.9186219180648	373.3524516602632
Anaerocolumna	0	0	0	0	0	0
Anaeromassilibacillus	81.75383141081018	86.86549491228872	68.47243304496484	35.921485098141666	62.78791386918074	31.912556661719677
Anaerosporomusa	0	0	0	0	0	0
Anaerostipes	1205.5996271822817	1136.3720064550482	842.2205086496583	1159.8701371517388	1198.5903633785997	784.3029983571802
Anaerotaenia	0	0	0	0	0	0
Anaerotignum	0	0	0	0	0	0
Anaerotruncus	0	0	0	0	0	0
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	647.1935100589442	612.8255832958378	420.8480327900784	575.4003008727905	490.6862534754827	423.7586921716429
Bariatricus	79.28382891260419	101.13633844220026	61.77518028373368	116.60724684729485	75.89274343078299	49.91751729637977
Barnesiella	40.999999998545086	47	36	39.97434393377623	60.99742678121394	42.55831993849839
Beduini	0	0	0	0	0	0
Bifidobacterium	89.01822232458902	273.0148904541234	56.99975749065852	108.9663180274199	35.08272735683827	236.20912942682745
Blautia	5431.283873941584	5678.269746198202	3526.043235078806	4460.178210052756	5033.23046140484	2727.897165279427
Breznakia	0	0	0	0	0	0
Butyricicoccus	122.54047570239536	132.8430605281072	73.95262907123251	81.4866680217074	128.4945568450847	73.37009788242672
Butyricimonas	0	0	0	0	0	0
Butyrivibrio	0	0	0	0	0	0
Caldicoprobacter	0	0	0	0	0	0
Caproiciproducens	0	12.382388633177046	0	12.396053163864933	0	0
Casaltella	0	0	0	0	0	0
Catenibacterium	2652.14584287323	2383.207175358153	2039.4958088370577	2543.787109135772	1341.8418782329866	1620.3029200642898
Cellulosilyticum	0	0	0	0	0	0
Christensenella	76.0000085476494	78.11837608884878	52.99913690474579	52.35976690978083	64.09815894258034	37.922403421501485
Citrobacter	0	0	0	0	0	0
Clostridioides	0	0	0	0	0	0
Clostridium	563.0377939547917	553.3748095751804	351.90794574839185	550.5338387110361	435.4175298743365	402.3939768906152
Colibacter	0	0	0	0	0	0
Colidextribacter	11.100044783863144	16.701636085296485	0	14.1338165520209	14.034637583183086	0
Collinsella	617.0236873955085	709.210876875551	400.695701153963	583.3684843827757	534.2887557168009	533.0306821969242
Coprobacter	0	0	0	0	0	0
Coprococcus	736.7739706033526	820.5198874664953	579.8928254024205	751.0706662911211	822.1612261671323	503.69551705298306
Corynebacterium	0	0	0	0	0	0
Cuneatibacter	28.058985357441895	26.502160175812403	17.651875472182027	26.16387134343481	36.75558168716631	20.63349623242176
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	0	0	0	0	0	0
Dialister	252.8486275490305	298.6012597520655	188.84484453115027	198.78693371093453	309.2144497611549	164.08607690094524
Dielma	0	0	0	0	0	0
Dorea	667.2043522624244	694.9491659815252	527.6676669710005	656.214063781023	659.9104086382284	437.9794280043118
Drancourtella	0	0	0	0	0	0
Duncaniella	15.00000000149869	21.356433021507705	15.999999429683417	0	0	22.011620255579786
Duodenibacillus	0	0	0	0	0	0
Dysosmobacter	43.9143356102114	43.76042946864837	39.64515772775263	42.391253127993465	42.7573949242524	35.18456634445307
Eggerthella	0	0	0	0	0	12.814621745004352
Eisenbergiella	0	0	0	0	0	0
Emergencia	0	0	0	0	0	0
Enterobacter	0	0	0	0	0	0
Enterocloster	107.6365106780664	118.56922749455303	66.24364000118094	102.9084780536928	103.6897941151547	60.917637357166136
Enterococcus	19.9999342955943	18	0	16	44.00000001958966	38.073739303672625
Enterorhabdus	0	0	0	0	0	0
Erysipelatoclostridium	31.852654115256826	23.99348521468096	29.81173252391704	27.550626230472105	19.94844941637532	47.98413874557272
Escherichia	34.999999999981426	37.00000000045943	37.0008630953098	59.00000056006237	32.00003118242748	43.99996151748886
Eubacterium	223.28011797843368	249.63297556110388	156.9822216750663	209.32610621118715	228.4635573728517	134.45699277099243
Faecalibacterium	5284.589810395045	5922.32737925616	3914.88889176017	5201.497419015974	6060.356849061509	4192.182329276769
Faecalibaculum	0	0	0	0	0	0
Faecalicatena	543.1963818904364	635.2985487662692	447.9805584650874	552.1114395001434	644.6230566675215	406.0790418333505
Faecalimonas	183.3548824468059	190.03856383720083	116.47281212481823	175.44826047504955	191.4654888006413	122.30992410794413
Faecalitalea	15.625829494674852	0	0	0	0	0
Falcatimonas	0	0	0	0	0	0
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	20.416374863052702	27.30803091188398	21.994235676082106	29.772248387531764	0	0
Flintibacter	24.642796667329957	32.22918415858274	24.25202129615034	24.505723809344136	19.049927645779764	23.184258107614717
Fournierella	0	0	0	0	0	0
Frisingicoccus	0	0	0	0	0	0
Fusibacter	0	0	0	0	0	0
Fusicatenibacter	769.3450816948149	801.8518607974643	578.3144827041617	733.9404001069183	765.527517693717	435.1747307094672
Gemmiger	940.2095529852678	1042.7303606660869	619.4129203162746	691.773746914586	807.7294790958653	472.04560659059695
Geosporobacter	0	0	0	0	0	0
Gordonibacter	0	0	0	0	0	0
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	0	0	0	0	0
Herbinix	0	0	0	0	0	0
Hespellia	0	0	0	0	0	18.042848710261584
Holdemanella	479.6790014727015	433.5806410035409	317.3449611440618	290.7650318786002	247.76355060296004	267.97645259985507
Holdemania	0	0	0	0	0	0
Hungateiclostridium	46.97957011474652	49.00491292159133	26.359749858682008	24.70192618728329	33.25834748900668	33.88738043952313
Hungatella	71.2773518594019	77.38968103822863	43.150326361551016	50.672483861362124	76.02561040480623	39.21733201059672
Hydrogenoanaerobacterium	0	0	0	0	0	0
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	0	0	0	0	0	0
Intestinibacillus	0	0	0	0	0	0
Intestinibacter	61.997090195849196	67.15431541609354	39.04510677092525	57.15371885096413	57.07421788248058	37.73063973978381
Intestinimonas	0	0	0	0	15.00585944371267	0
Klebsiella	0	0	0	0	0	0
Knoellia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
Laceyella	13	10	0	18.03507440389599	14.999999944500075	0
Lachnoclostridium	41.46974600447382	28.489453395178288	33.967582300294225	29.59880656561116	27.550539142470765	19.9780716503037
Lachnospira	348.07229069215776	310.7188826349361	205.48934855555143	224.2597205737128	224.92403733229207	120.01238646556192
Lacrimispora	97.69953288260722	100.97332135792348	50.33831123194665	108.3427333862474	79.01004997254746	49.40661097790503
Lactiplantibacillus	0	0	0	0	0	0
Lactobacillus	39.50832353092316	58.000086326206414	25.027043834893757	23.000518084950272	41.76607776423192	19.46863270922813
Lactococcus	0	0	0	0	0	0
Lactonifactor	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0
Libanicoccus	0	0	0	0	0	0
Longibaculum	77.44051374830298	55.13022209025216	82.47542034576425	103.75953781621814	69.88049042657858	60.3166934849551
Mageeibacillus	0	0	0	0	0	0
Massilimicrobiota	10.000028602104123	0	0	0	0	0
Massiliprevotella	0	0	0	0	0	0
Massilistercora	0	0	0	0	0	0
Mediterraneibacter	1342.957555593826	1419.3275223445014	1011.6674312737088	1414.8000017579077	1430.8841679309053	901.5076845469348
